Timestamp,Parking_Spot_ID,Sensor_Reading_Proximity,Sensor_Reading_Pressure,Vehicle_Type_Weight,Vehicle_Type_Height,User_Type,Weather_Temperature,Weather_Precipitation,Nearby_Traffic_Level,Entry_Time,Exit_Time,Electric_Vehicle,Reserved_Status,Occupancy_Rate,Payment_Amount,Parking_Lot_Section,Payment_Status,Occupancy_Status,Vehicle_Type,Parking_Violation,Sensor_Reading_Ultrasonic,Parking_Duration,Environmental_Noise_Level,Dynamic_Pricing_Factor,Spot_Size,Proximity_To_Exit,User_Parking_History
2021-01-01 00:00:00.000000000,20,1.023651409567329,1.5414614471808332,1831.7701273071928,4.392527712379692,Visitor,18.092552925879538,1,Low,18,9,0,1,0.5739087701953813,2.2897744750054376,Zone A,Paid,Occupied,Car,0,102.9510517181487,4,55.62074006244983,0.8,Standard,6.610473981779346,6.6603099185298
2021-01-02 06:39:16.756756756,49,3.903349230758683,1.6217190055218869,1330.8157535825271,4.595638007309978,Registered,13.397532782974842,0,Low,3,13,1,0,0.16177789168944498,0.6719833299772372,Zone A,Unpaid,Occupied,Car,0,87.55913051115893,3,56.68238608239461,1.2,Compact,8.678718508140866,6.766187298396955
2021-01-03 13:18:33.513513513,38,10.315708971410293,6.29237429693212,1255.1348266374107,4.313720864244916,Registered,21.687410373631995,0,High,13,1,0,0,0.1351135552621585,0.8282931403922983,Zone B,Paid,Vacant,Car,1,100.0618540335037,5,59.23932244017901,0.8,Standard,13.795261925540462,-0.9100518975538607
2021-01-04 19:57:50.270270270,31,6.588038895652368,1.6598695865188504,1523.4429188908941,3.5673287102603473,Visitor,18.68346096561042,0,Medium,15,15,0,0,0.23675500359878007,14.273130664905292,Zone B,Paid,Vacant,Motorcycle,1,110.59459808047254,2,44.5451546414649,0.8,Standard,1.6787205984170137,10.415888283567071
2021-01-06 02:37:07.027027027,8,8.213969130368787,3.278467030989879,1758.4908373493831,5.145836470215384,Visitor,19.214875857776462,0,High,19,18,1,1,0.164526487976559,5.884322571178742,Zone C,Paid,Occupied,Car,0,84.78696341967321,2,48.01260444564208,0.8,Standard,20.012252198732583,4.3555436544371675
2021-01-07 09:16:23.783783783,8,5.376188575852013,1.7523207656377386,1541.7181195960252,5.585299436516338,Registered,13.94919528292921,0,Low,23,7,0,0,0.2530427949307719,12.952884203673314,Zone D,Overdue,Vacant,Car,0,76.05522321400737,1,48.321583634871146,0.8,Standard,32.06621474520797,5.556890674838012
2021-01-08 15:55:40.540540540,3,5.892769180707661,0.17446808158005545,1026.9010553427008,5.5148835960763725,Registered,27.957001838814023,0,Medium,5,14,0,0,0.5457533592735235,11.466072026884277,Zone A,Paid,Vacant,Electric Vehicle,0,141.1908564373189,5,55.27214484015114,0.8,Standard,8.370167467076254,4.332722240056197
2021-01-09 22:34:57.297297297,45,9.458859940251397,6.176595819641154,1259.1526668147474,5.819925252635234,Registered,24.38357093193058,0,Low,22,9,0,1,0.10367119612142682,1.4544489080496805,Zone C,Paid,Occupied,Car,0,103.7505952060586,4,47.57626671875928,0.8,Standard,11.465559786103913,9.270307775990505
2021-01-11 05:14:14.054054054,31,1.4361975777006006,3.5093117087710186,1477.8081409216866,5.324340210014868,Registered,24.820779420859893,0,Low,5,4,0,0,0.25665080034543425,1.541866036968245,Zone A,Paid,Vacant,Electric Vehicle,0,118.76700626048664,3,54.584798604776836,0.8,Standard,19.649241406485526,7.578687481855916
2021-01-12 11:53:30.810810810,37,3.361088330856207,4.850825053798059,1477.300318702251,4.467274501783097,Staff,18.47277648779159,0,Low,2,19,1,0,0.44947111403560897,14.078940250909692,Zone B,Paid,Vacant,Electric Vehicle,0,104.1899249545656,5,47.442080227728255,0.8,Standard,4.69700685404256,9.21501387647664
